"warno","statenum","stateabb","yrbeg1","monbeg1","daybeg1","yrend1","monend1","dayend1","yrbeg2","monbeg2","daybeg2","yrend2","monend2","dayend2","duration","deaths","outcome","initiate","sysstat","prwarpop","prwararm","westhem","europe","africa","mideast","asia","oceania","version","warname","censubsy","subsysea","majpowin","majpowea","edition","pbdeadlow","pbdeadhigh","pbdeadbest","tbdeadlow","tbdeadhigh","tbdeadbest"
"139","290","POL","1939","9","1","1939","9","27","-999","-999","-999","-999","-999","-999","27","320000","1","0","1","30171","275","0","1","0","0","0","0","3","World War II","0","0","1","1","0","1820000","1820000","1820000","24494079","24494079","24494079"
"139","310","HUN","1941","6","27","1945","1","20","-999","-999","-999","-999","-999","-999","1304","136000","2","0","1","9114","-999","0","1","0","0","0","0","3","World War II","0","0","1","1","0","219935","219935","219935","24494079","24494079","24494079"
"139","325","ITA","1940","6","10","1943","9","2","-999","-999","-999","-999","-999","-999","1180","174500","2","0","4","44047","1634","0","1","0","0","0","0","3","World War II","0","0","1","1","0","74511","74511","74511","24494079","24494079","24494079"
"139","20","CAN","1939","9","10","1945","8","14","-999","-999","-999","-999","-999","-999","2166","41992","1","0","1","11565","6","0","1","0","0","0","0","3","World War II","0","0","1","1","0","37476","37476","37476","24494079","24494079","24494079"
"139","325","ITA","1943","10","18","1945","5","7","-999","-999","-999","-999","-999","-999","568","52400","1","0","1","44643","1702","0","1","1","1","0","0","3","World War II","0","0","1","1","0","74512","74512","74512","24494079","24494079","24494079"
"139","2","USA","1941","12","7","1945","8","14","-999","-999","-999","-999","-999","-999","1347","405400","1","0","4","133894","1801","0","1","1","1","1","1","3","World War II","0","0","1","1","0","288131","288131","288131","24494079","24494079","24494079"
"139","345","YUG","1941","4","6","1941","4","17","-999","-999","-999","-999","-999","-999","12","305000","1","0","1","15437","150","0","1","0","0","0","0","3","World War II","0","0","1","1","0","567000","567000","567000","24494079","24494079","24494079"
"139","220","FRN","1939","9","3","1940","6","22","1944","10","23","1945","8","14","590","210824","1","0","4","41814","581","0","1","0","0","0","0","3","World War II","0","0","1","1","0","160599","160599","160599","24494079","24494079","24494079"
"142","365","USR","1939","11","30","1940","3","12","-999","-999","-999","-999","-999","-999","104","50000","1","1","4","170466","1789","0","1","0","0","0","0","3","Russo-Finnish","0","0","1","0","0","50000","71124","71124","73157","94281","94281"
"142","375","FIN","1939","11","30","1940","3","12","-999","-999","-999","-999","-999","-999","104","24900","2","0","1","3862","37","0","1","0","0","0","0","3","Russo-Finnish","0","0","1","0","0","23157","23157","23157","73157","94281","94281"
